Продукт;Раз в неделю;Ем;Описание
Печень телячья;-;НЕТ;В телячьей печени больше всего сконцентрировано железа – 8 миллиграмм
Свиная печень;2;НЕТ;В отличие от свинины,свиная печень является низкокалорийной,содежит очень мало жиров и углеводов при достаточно высоком содержании белка. Свиная печень является прекрасным источником витамина С,РР,А и В3,а так же содержит в больших количествах фосфор,калий,магний и натрий.
Сердце говяжье;2;НЕТ;В говяжьем сердце содержатся различные витамины (Е, А. К, РР) и микроэлементы. К примеру, в сердце в 6 раз больше витаминов группы В, чем в говядине, а железа - больше в полтора раза. Кроме того, в нем содержится немало магния, который улучшает деятельность сердечной мышцы. Почему диетологи рекомендуют чаще включать говяжье сердце в меню пожилых людей, а также тех, кто испытывает большие физические нагрузки. В говяжьем сердце содержатся также калий, фосфор, цинк, натрий, кальций.
Сердце куриное;-;НЕТ;В них содержатся витамины РР, А и группы В, также в сердечках много микро- и макроэлементов (это к примеру, фосфор, калий, магний, железо, цинк, медь). Так что, куриные сердечки являются питательным белковым продуктом и рекомендуется чаще употреблять его в пищу тем людям, у которых есть нарушения сердечно-сосудистой системы, анемия, нарушения деятельности нервной системы, людям, перенесшим операции, травмы, после перенесенных тяжелых заболеваний, то есть нуждающимся в усиленном питании.
Сердце индейки;2;НЕТ;Сердце индейки богато белками, минералами, витаминами А и С, а также витаминами группы В, особенно много - В1, В2, В5, В6, В12. Особую ценность этот субпродукт имеет также из-за высокого содержания в нем железа, селена, цинка и фосфора. Диетологи рекомендуют включать блюда из сердец индейки в рацион людей, страдающих анемией, а также испытывающих большие физические нагрузки и нервное напряжение. Единственным минусом этого продукта можно считать достаточно высокое содержание холестерина, именно поэтому не реуомендуются к ежедневному употреблению.
Сердце свиное;-;НЕТ;Питательная ценность этого субпродукта заключается в сбалансированном составе определенных витаминов, микро- и макроэлементов. В нем достаточно много витаминов группы В, а также РР, С, Е. В свином сердце содержится большое количество фосфора, калия, йода и железа. Не случайно медики советуют употреблять блюда из свиного сердца людям с низким уровнем гемоглобина и страдающим от малокровия. Кроме того, витамины, входящие в его состав, полезны при заболеваниях почек и расстройствах нервной системы.
Телятина;-;ДА;Телятина является одним из полезнеших видов мяса за обилие легко усвояемых белков и разнообразный набор витаминов (А,С,Е,В6,В12,РР) и микроэлементов (кобальт,фосфор,магний,калий,цинк,медь,железо). Телятина-один из самых низкокалорийных видов мяса.
Утиная грудка без кожи;1;ДА;Утиная грудка - это самая полезная и низкокалорийная часть утки, хотя, по сравнению с курицей, она все же в несколько раз жирнее. Мясо утиной грудки является чрезвычайно питательным, а также полезным продуктом, так как богато витаминами группы B и важными микроэлементами.
Цесарка;-;НЕТ;"Филе красное, при приготовлении белеет, по вкусу похожа на дичь. По белковому составу мясо цесарок намного более насыщенно, чем у других одомашненных птиц"
Язык телячий;1;ДА;Телячий язык является  полезным субпродуктом, поскольку в нем содержится необходимое количество белка и железа. Однако содержит большое количество животных жиров.
Яйцо куриное;2;ДА;Куриное яйцо на 97% усваивается организмом. Яйцо содержит 12 витаминов. Оно хороший источник активного витамина A, и только рыбьему жиру уступает по содержанию витамина D. В яйце много витаминов B1, B2, E, а также очень важного витамина — холина, которого нигде нет столько, сколько в желтке. Яйца содержат 96% минералов, особенно высоко содержание кальция, а также фосфора, йода, меди, железа, кобальта. Однако в желтке содержится достаточно много холестерина и жиров, поэтому его потребление лучше ограничить 2 желтками через день.
Яйцо перепелиное;-;ДА;Яйца перепелов содержат больше биологически активных веществ, чем яйца других видов сельскохозяйственной птицы. Также в перепелиных яйцах большое содержание витамина А, фосфора, никотиновой кислоты, меди, кобальта, и  аминокислот. Они не вызывают диатеза и других аллергических реакций.
Як мясо;-;НЕТ;Отличительной особенностью мяса яка является пониженная по сравнению с говядиной  жирность, что соответствует тенденциям здорового питания.
