Продукт;Раз в неделю;Ем;Описание
Кальмар;-;НЕТ;Мясо кальмара содержит белок, хорошо усваиваемый организмом, и не содержит насыщенные жирные кислоты. Также богато таурином, который способствует снижению уровня «плохого» холестерина в крови, стабилизирует кровяное давление, уменьшает риск сердечно-сосудистых заболеваний. Содержащиеся в моллюске витамин Е и селен благотворно сказываются на выведении из организма солей тяжелых металлов, йод способствует нормализации работы щитовидной железы. Богаты витаминами C, E, PP, группы B. После варки сохраняются йод, железо, медь, фосфор – основные минеральные вещества. Содержит аминокислоту – таурин.
Камбала;-;ДА;Содержит до 20% легкоусваиваемых белков с хорошо сбалансированным набором аминокислот, и не более 3% жира. Большой ассортимент витаминов (А, группы В, Е, РР и др.), микроэлементов (калий, фосфор, кальций, магний, йод и др.), макроэлементов (селен, медь, цинк и др.). Введение камбалы в рацион повысит иммунитет и работоспособность, а уровень холестерина снизит, улучшит состояние зубов, кожи и волос, благоприятно отразится на работе щитовидной железы, ЖКТ и сердечно-сосудистой системы.
Каракатица;-;НЕТ;Содержит огромное количество полезных веществ: витамины А, В6, Е, В12, D, жирные кислоты омега-3 и омега-6, а также селен, калий, медь, фосфор, железо, йод, цинк и практически все аминокислоты, необходимые организму человека.
Карась;-;ДА;Содержит до 18 % легкоусвояемого белка, в том числе незаменимые аминокислоты, жирорастворимые витамины (С, А, Е, D) и витамины группы В, РР, никель, молибден, магний, фтор, натрий, хром, калий, железо, хлор, йод, медь, цинк, марганец, фосфор и кальций. Важный продукт питания в рационе беременных женщин, кормящих матерей, детей, ослабленных больных, а также людей, подвергающихся повышенной интеллектуальной и физической нагрузке. В составе мяса карася присутствует до 8 % полиненасыщенных жирных кислот, играющих первостепенное значение в профилактике и лечении сердечно-сосудистых и нервных заболеваний.
Карп;-;ДА;Эта рыба богата витаминным комплексом (провитамином А, С, Е, группы В, РР), антиоксидантами, и многими макро- и микроэлементами (цинком, магнием, фосфором, йодом, марганцем, никелем, медью, калием, кальцием, железом и др.). Рекомендуют употреблять тем, у кого проблемы со спинным или головным мозгом. Употребление в пищу этой рыбы эффективно для здоровья слизистых оболочек и кожи, нормализует уровень сахара в крови, благотворно воздействует на пищеварительную и нервную системы. Полезна при заболеваниях щитовидной железы.
Кета;1;ДА;Содержит: ретинол, кальциферол, тиамин, пиридоксин, рибофлавин, ниацин, цианоколобамин, аскорбиновая и фолиевая кислоты. Витамины: PP, A, H, B1, E, B2, D, B5. Микро и макро элементы: кальций, фосфор, калий, никель, молибден, хром, цинк, хлор, сера, магний, натрий, фтор, железо.
Кефаль;-;ДА;Ее мясо богато белками, жирами, кальцием, фосфором, цинком, хлором, хромом, молибденом, фтором (стимулирует рост волос и ногтей, нормализует кроветворение, укрепляет иммунитет), никелем, никотиновой кислотой, провитамином А и витамином В1. Также содержит керотин и ретинол.
Корюшка;-;ДА;В период весеннего авитаминоза эта рыбка становится источником необходимых витаминов (А, D, группы В), большого числа минералов и микроэлементов (кальций, калий, фосфор, натрий, магний, фтор, молибден, хлор, железо).
Краб;-;ДА;В мясе краба много ценного белка, лецитин, многие макро- и микроэлементы (йод, фосфор, медь, железо, сера, цинк, калий, кальций) и витаминов (Е, РР, В12, С, B3, B1, A, B9, B2, B6, B5). Содержит большое количество аминокислоты таурина, являющейся антиоксидантом. Таурин способствует нормальному функционированию мышц и кровеносных сосудов, а также благоприятно воздействует на зрение человека (улучшает состояние сетчатки глаз, роговицы и укрепляет глазные мышцы). Содержит полиненасыщенные жирные кислоты омега-6 и омега-3, снижающие уровень холестерина в крови человека и таким образом препятствующие развитию сердечно-сосудистых заболеваний (атеросклероз, гипертоническая болезнь, анемии) и возникновению онкологических патологий.
Креветка;-;ДА;Является источником ценного белка и кальция. Высокое содержание витаминов (С, РР, Е, B1, B2, B5, B6, B9) и микроэлементов (кальций, калий, железо, магний, фосфор, фтор) благоприятно воздействует на обмен веществ в организме, укрепляет кости и мышцы, поддерживает нормальное функционирование желез внутренней секреции и стимулирует работу иммунной системы. Мясо креветок регулирует нормальное функционирование эмоционально-психической деятельности человека, а также содержит таурин, который укрепляет скелетные мышцы, стенки сосудов и благоприятно воздействует на зрительный анализатор.
Ледяная рыба;-;ДА;Употребление данного продукта полезно для организма. Это неудивительно, поскольку ледяная рыба богата витаминами, макро- и микроэлементами, которые влияют на организм благотворно. К ним следует отнести B1, B2, PP, B6, B9, хром, магний, кобальт, натрий, йод, калий, сера.
Лещ;-;ДА;Лещи содержат до 9 % рыбьего жира – ценного источника омега-3 полиненасыщенных жирных кислот, витамина Е, А и D. Эти вещества снижают уровень атерогенного холестерина в крови, способствуют рассасыванию бляшек даже при запущенном атеросклерозе и снижают риск возникновения осложнений при сердечно-сосудистых заболеваниях. Витамин D и кальций укрепляют опорно-двигательный аппарат, витамин А улучшает остроту зрения и состояние сетчатой оболочки глаза, а калий и магний благотворно влияют на работу сердца. Протеины мяса леща содержат почти все незаменимые аминокислоты, необходимые человеческому организму, а также витамины группы В и РР, минеральные вещества (никель, молибден, фтор, хром, железо, хлор, фосфор, натрий, магний, кальций).
Линь;-;ДА;Содержит витамины А, Е, С, РР, группы В. В составе много макроэлементов – натрия, магния, калия, кальция, фосфора. Микроэлементы: йод, железо, медь, цинк, марганец, хром, фтор и пр.
Лобстер;-;ДА;Содержит протеин, холестерин, а так же витамины: холин, РР, Е, В9, В5, А и другие. И минеральные вещества в большем количестве: селен, медь, цинк, фосфор, калий, натрий, магний, кальций. Мясо лобстера довольно тяжёлое для усвоения.
Лосось;1;ДА;Мясо лосося богато В1, В2, С, Е, РР, А, калием, фосфором, магнием, хлором, цинком и другими полезными элементами. Его часто употребляют для улучшения самочувствия и настроения, для профилактики раковых болезней, для улучшения работы сердечно-сосудистой системы.
Мидии;-;НЕТ;Обладают положительным эффектом для пищеварения. Содержат витамины группы B, А, С, К, Е. Микроэлементы: селен, марганец, медь, а также железо, цинк. Также присутствуют калий, магний, натрий, фосфор, кальций.   НО !!! Старые мидии могут содержать сакситоксин, которым можно отравиться!!!
Минтай;-;ДА;Богат витаминами (А, РР, группа В, Е, С), легко усваиваемыми белками, полиненасыщенными жирными кислотами, минеральными веществами ( кальций, хлор, магний, калий, сера, железо, цинк, йод, медь). Количества йода в 100 граммах мяса минтая удовлетворяет суточную потребность человеческого организма на 100%, хрома - на 110%, а кобальта на 150%. Рекомендован при патологиях щитовидной железы, атеросклерозе, для улучшения состояния слизистых оболочек и кожи, работы сердечно-сосудистой системы, в детском и диетическом питании, беременным.
Моллюск рапана;-;НЕТ;Содержит легкоусвояемый белок, аминокислоты, нужные для работы головного мозга и для снабжения мышечной ткани энергией. Витамины А, РР, Е. Минеральные вещества: железо, натрий, магний, кальций, фосфор, йод. Способствуют обмену веществ, нормальной работе почек, обеспечивают полноценную деятельность нервной системы, поддерживают зрение, повышают иммунитет, положительно влияют на процесс кроветворения, поддерживают работу сердца и сосудов.
Морской гребешок;-;НЕТ;Содержит витамин PP, никель, молибден, фтор, цинк, хлор и др.
Морской язык;-;ДА;Нормализует обмен веществ, выводит токсины, улучшает состояние кровеносных сосудов. Содержит йод, медь, фтор, серу, хлор, фосфор, калий, натрий, магний, витамин А.
Муксун;-;НЕТ;Жир, которым так богат муксун, необходим человеческому организму для полноценной деятельности внутренних органов.Жир муксуна не оказывает пагубного влияния на состояние кровеносных сосудов и сердечной мышцы. Муксун богат витаминами РР и многими минералами, особенно молибденом, хромом, фтором, хлором, цинком и никелем.
Навага;-;ДА;Мелкие кости отсутствуют. Содержит большое количество селена (очень важного для наших нервов и иммунной системы), йода, витаминов D, А, В9, Е, а также жирные насыщенные кислоты. Все эти вещества очень помогают нашему организму в формировании костей, образовании красных кровяных телец, иммунитету, борются с холестерином.
Налим;-;ДА;Питательность мяса налима обусловлена высококачественным, усваиваемым на 98% белком, содержащим семь незаменимых аминокислот. Присутствует набор витаминов, таких как А, группы В, С, D, Е. Велико содержание витаминов А и D в печени, состоящей на 50-65% из жира и являющейся поставщиком полиненасыщенных омега-3 жирных кислот, широко представлены микроэлементы - калий, кальций, магний, фосфор и др. Употребление мяса и печени налима сокращает риск сердечно-сосудистых и неврологических заболеваний, предотвращает образование холестериновых бляшек, повышает иммунитет, усиливает умственные способности, улучшает зрение и состояние зубов и кожи. Облегчает состояния при сахарном диабете, артрите, остеопорозе.
Нельма;-;ДА;Содержит легкоусвояемый белок, сбалансированный состав аминокислот и жиров. Витамины: РР, В12, В9, В6, Е. Минеральные вещества: селен, фосфор, натрий, магний, кальций, калий.
Нерка;1;ДА;Витамины: A, группы В, Е, РР, С, D, К. Микроэлементы: железо, фтор, цинк, хром, молибден, никель. Макроэлементы: магний, кальций, натрий, калий, хлор, фосфор. Нормализует процесс обмена веществ, восстановливает баланс питательных веществ и микроэлементов. Природный антиоксидант, регулирует уровень сахара в крови. Не рекомендована при наличии язвы желудка.
Окунь морской;1;ДА;Содержит достаточно много рыбьего жира с большим количеством омега-3 полиненасыщенных жирных кислот, регулирующих обмен веществ, снижающих уровень холестерина в крови и особенно необходимых в профилактике и лечении сердечно-сосудистых и нервных болезней. Отличный источник легкоусвояемого протеина со значительной долей аминокислоты таурина, влияющей на построение клеток и тканей организма и участвующей в обменных процессах.
Окунь речной;-;ДА;Содержит многие необходимые организму микроэлементы: железо, калий, магний, кальций, бор, медь, кобальт, марганец, фосфор и бром.
Осетр;1;ДА;Осетрина-достаточно жирное мясо,но при этом очень полезное. Содержит большое количество легкоусвояемого белка со сбалансированным аминокислотным составом, полиненасыщенных жирных кислот, необходимых людям с сердечно-сосудистыми и нервными заболеваниями, жирорастворимых витаминов, макро- и микроэлементов. Осетр содержит в большом количестве фосфор, магний, калий, натрий, кальций, железо и др. элементы. Также присутствуют витамины А, Е, C, PP, B1, B2. Витамин А нужен людям со снижением остроты зрения, витамин D, кальций и фосфор – детям и беременным женщинам, витамин Е и микроэлементы – пожилым людям и ослабленным больным. Осетр полезен для уменьшения в крови холестерина. Уменьшает риск получения инфаркта миокарда.
Осьминог;-;НЕТ;Содержится большое количество белка, полезных элементов (магний, кальций, натрий, калий, железо, фосфор, медь, селен, цинк и марганец), витаминов группы В, А, С, Е, К, РР, а также омега-3 и фосфорной кислоты.
Пангасиус;-;НЕТ;"В его состав входят витамины группы В, а также витамины А, С и Е"
Патуссу;-;НЕТ;Содержатся витамины D и А, кобальт, марганец, йод, фосфор, фтор, сера и натрий.
Пеленгас;-;НЕТ;Средней жирности, очень питательный, содержит большое количество легко усваиваемых белков. Содержит полиненасыщенные жиры Омега-3. Регулярное употребление поможет нормализовать уровень холестерина. Также благоприятно влияет на сердечно-сосудистую систему, улучшает работу головного мозга. Снижает риск развития атеросклероза, гипертонии, раковых заболеваний. Содержит витамины группы В, А (большое количество), минеральные вещества: магний железо, фосфор, калий, кальций.
Пикша;-;НЕТ;Пикша богата протеинами, витамином В12 и селеном. Также содержит пиридоксин, натрий, калий, бром, железо, цинк, йод, фтор, витамины группы В, а также А и D.
Плотва;-;НЕТ;Содержит ценный белок и аминокислоты, которые очень легко усваиваются.
Раки;-;ДА;Содержит большое количество белка, легко усваивается. Стимулирует работу имунной системы. Профилактическое средство при заболеваниях сердечно-сосудистой системы и печени. Минеральные вещества: фтор, хром,хлор, фосфор, калий, натрий, кальций.
Ряпушка;-;ДА;В ней совсем мало костей. Содержит полиненасыщенные жирные кислоты Омега-3, витамин РР. Минеральные вещества: никель, молибден, фтор, хром, цинк, сера, хлор, кальций, магний. Благотворно влияет на иммунную, нервную системы, работу сердца и головного мозга.
Сазан;-;ДА;Содержит важные белки, жиры, золы, воды, насыщенные жирные кислоты, витамины А, С, Е, РР и группы В (В1 - тиамин и В2 - рыбофламин), а также ролноценный комплекс макро- и микроэлементов: фосфор, магний, кальций, фтор, хром, калий, молибден, натрий, никель, хлор.
Салака;1;ДА;В состав входят Омега-3 жирные кислоты, способные регулировать уровень холестерина в крови. Богата витаминами - А, В1, В2, В6, В12, С и Е, а также йодом, кальцием, фосфором и магнием.
Семга;1;ДА;Богата полиненасыщенными жирными кислотами, предупреждающими развитие атеросклероза и др. сердечно-сосудистых заболеваний, нормализующие уровень холестерина в крови. Протеины этой рыбы легко усваиваются и помогают восстановить силы после тяжелых заболеваний, операций и физических нагрузок. Регулярное употребление улучшает функциональное состояние головного мозга, повышает настроение, укрепляет стенки кровеносных сосудов и снижает риск возрастных изменений головного мозга. В  семге содержится около 20 необходимых человеческому организму минеральных веществ (магний, кальций, калий, сера, хлор, никель и др.) и витамины А, С, В, РР, Н и D, способные снять воспаление, укрепить мышечную и костную ткань и уменьшить количество жировых подкожных отложений.
Сиг;1;ДА;Отличается высоким уровнем содержания жира. Но в этом жире и состоит основная польза сига, рыбий жир отлично усваивается организмом человека, а также приносит огромную пользу желудочно-кишечному тракту. Витамины, как: А и D – отвечают за хорошее зрение и крепкие кости.
Скумбрия;1;ДА;Считается довольно жирной рыбой, но при этом безумно полезной. Является кладезем минеральных веществ. Содержит фтор, цинк, фосфор, калий, марганец, сера, натрий и др. Витамины: А, РР, С и группы В, в наибольшем количестве В12. Он принимает участие в метаболизме жиров. Скумбрия очень полезна для детей (правильного роста и гармоничного развития). Рекомендуют и для рациона беременных женщин и кормящих матерей, поскольку она способствует лактации.
Сом;-;ДА;Содержит витамины группы В, А, С, РР, Е, микро- и макроэлементы (кальций, калий, марганец, железо, йод, цинк, магний, натрий, хлор, медь, хром, кобальт, никель, хром, фтор), протеины и аминокислоты (особенно много в нем лизина). Всего 200 г мяса этой рыбы покрывает суточную потребность организма человека в белках животного происхождения.
Ставрида;-;НЕТ;Великолепный источник легкоусвояемого белка, кальция, фосфора, магния, железа, цинка и других морских минералов и витаминов, необходимых человеческому организму. Содержит полезные жирные кислоты Омега-3, которые благотворно влияют на работу сердечно-сосудистой системы, и показаны при атеросклерозе, ишемической болезни, гипертонии и нарушениях обмена веществ.
Стерлядь;-;ДА;Жирная рыба, но все жиры в ней исключительно полезные. Богата цинком, фтором, никелем и молибденом, а также витамином РР. Содержатся жирные омега-3 кислоты, благотворно воздействующие на мозговую деятельность и глазное кровообращение. Эти кислоты также помогают поддерживать в тонусе сердечнососудистую систему, уменьшают вероятность возникновения инфаркта и предупреждают появление онкологических заболеваний.
Судак;-;ДА;Нежирноя мясо, богатое витаминами А, группы В, РР, Е, С, микро и макроэлементами.
Таймень;-;НЕТ;В мясе тайменя содержатся жирные кислоты Омега-3, препятствующие образованию бляшек в сосудах и нормализующие уровень холестерина в крови. Витамины: РР, А, В12, D. Минеральные вещества: никель, молибден, фтор, хром, цинк, сера, хлор.
Тилапия;-;ДА;Содержится сбалансированный белок, витамины: РР, В1, В2, В5, В6, В9, В12, Е, К, минеральные вещества: калий, кальций, магний, натрий, фосфор, железо.
Треска;-;ДА;Низкокалорийное мясо, богато легкоусвояемыми белками, витаминами группы В (особенно В6 и В12), селеном, фтором, фосфором и др. Содержащиеся в треске Омега-3 жирные кислоты благотворно сказываются на работе сердечно-сосудистой и нервной систем, нормализуют обмен веществ и укрепляет иммунитет, защищая организм от инфекционных и простудных заболеваний. Очень полезной считается икра трески. Она богата белками, витаминами А и В и многими микроэлементами.
Тунец;-;ДА;Стимулирует обмен веществ, нормализует уровень сахара в крови и способствует выводу холестерина, часто рекомендуют гипертоникам. Также полезен для восстановления и улучшения свойств слизистых оболочек и кожи человека, особенно – при экземе. Содержит жирные кислоты Омега-3, которые сокращают риск сердечно-сосудистых заболеваний, нормализуют уровень холестерина в крови. Является хорошей профилактикой развития онкологических заболеваний. Улучшает зрение, нормализует уровень сахара в крови. Витамины: РР, Е, В9, В6, В2, В1, А. Минеральные вещества: никель, молибден, фтор, хром, железо, хлор, фосфор, йод, магний, кальций, железо и др. Нельзя употреблять при почечной недостаточности. Не рекомендуется маленьким детям, беременным и кормящим женщинам.
Угорь морской;-;ДА;Мясо морского угря примерно в 3 раза менее калорийно, чем его речного собрата, за счет пониженного содержания жиров, а вот витаминов (А) микро и макро элементов там предостаточно.
Улитки;-;НЕТ;Состоит из полиненасыщенных и ненасыщенных жирных кислот, содержит не менее 15 процентов белка. Минеральные вещества: магний, натрий, калий, фосфор, медь.
Устрицы;-;НЕТ;Содержание витаминов (А), минералов (фтор, хром, хлор, фосфор, калий, натрий, кальций), жиров и белка способно удовлетворить суточную потребность организма в необходимых веществах. Также содержит кислоту омега-3.
Форель;2;ДА;Свойства аналогичны семге
Хариус;-;НЕТ;Содержит белок, витамины РР, микро и макроэлементы ( сера, хлор, никель, молибден, фтор, хром, цинк), полиненасыщенные жирные кислоты, все в прекрасном соотношении.
Хек;-;ДА;Легкоусвояемое мясо, богато белками, витаминами А, Е, С, РР и группы В, а также микро- и макроэлементами: фосфор, магний, медь, йод, кальций, натрий, калий, марганец, железо, сера, цинк, фтор. Способствует регулированию обмена веществ и уровня сахара в крови, помогает выводить из организма токсины,предупреждает развитие раковых заболеваний. Обладает антиоксидантными свойствами и очень полезен для кожи, щитовидной железы, слизистых оболочек, пищеварительной и нервной систем.
Щука;-;ДА;Нежирная, содержит много биологически ценного протеина, хорошо усвояемого организмом человека, витамины группы В, А, С, Е, железо, цинк, йод, марганец, медь, хром, фтор, кобальт, молибден и никель. Полезна людям с заболеваниями желудочно-кишечного тракта, гиповитаминозами, ожирением и сердечно-сосудистыми болезнями. Укрепляет иммунную систему и помогает справиться с бактериальными инфекциями.
Язь;-;ДА;Быстро и легко усваивается. Полезна при различных заболеваниях сердца и сосудов, при язве желудка и гастрите. Отлично стимулирует пищеварение. Экстрактивные вещества бульона из язя  вызывают повышенное выделение ферментов поджелудочной железы и желудочного сока. Полезно для больных гастритом с пониженной кислотностью. Содержит белок с уникальным сочетанием незаменимых аминокислот, кальций и фосфор.
